2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_wave_upload_status
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_ws_function_timer_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hardware_registered
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_charging_station_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_conveyor_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_conveyor_mux_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_curtain_light_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_display_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_maintenance_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_maintenance_scanner_multiplexer_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_ptl_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_safety_door_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_scanner_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: hw_station_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: integration_error_logs
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: live_inventory_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: live_inventory_master_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: location_block_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: location_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: location_master_
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: lpn_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: lpn_master_stock_audit
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: lpn_pick_wave_order_mapping
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: lpn_pick_wave_order_mapping_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: maintenance_alarm_logs
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: maintenance_task_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: manual_alarm_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: master_config
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: mining_history
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: mining_job_logs
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: mining_schedule_stats
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: mining_schedules
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: mining_statistics
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: my_recommendation
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: order_bin_mapping
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: order_bin_mapping_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: order_bin_task_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: pageno_wave_payload_mapping
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: performance_metrics
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: pick_rule_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: pick_wave_order_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: pick_wave_order_master_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: pick_wave_wms_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: pick_wave_wms_data_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: pick_wave_wms_data_dsb_upload_validation
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: prepare_orders_wms_data_dsb_upload_validation
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: pseudo_bot_alarm_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: ptl_current_state
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: ptl_messages_description_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: put_wave_order_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: put_wave_order_master_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: put_wave_wms_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: put_wave_wms_data_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: put_wave_wms_data_dsb_upload_validation
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: put_wave_wms_data_int_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: query_rollback_error_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: recovery_logs
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: recovery_pick_task_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: robot_charge_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: short_pick_wave_reason
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: short_put_wave_reason
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_batch_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_ean_mapping
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_ean_mapping_dsb_upload_validation
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_master_dsb_upload_validation
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_recommendations
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_velocity_history
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_velocity_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_velocity_scores
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: sku_velocity_state
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: station_home_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: station_pick_task_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: steps
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: steps_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_bin_data_push
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_bin_segments
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_list
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_wave_order_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_wave_order_master_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_wave_reason
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_wave_wms_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_wave_wms_data_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_wave_wms_data_dsb_temp
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: stock_audit_wave_wms_data_dsb_upload_validation
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: storage_request_wms_data_dsb_upload_validation
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: store_bin_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: subcontroller_reservations_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: subcontroller_reservations_master_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: task_detail
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: task_detail_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: task_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: task_master_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: teleoperation_bits
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: teleoperation_bool_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: teleoperation_bool_data_feedback
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: teleoperation_numeric_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: teleoperation_numeric_data_feedback
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: velocity_calculation_config
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: velocity_calculation_jobs
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wave_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wave_master_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wave_station_rule_mapping
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wcs_to_wms_payload
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wcs_to_wms_payload_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wm_sequenceno
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_order_line_request_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_order_line_request_data_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_order_request_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_order_request_data_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_payload
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_payload_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_storage_request_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_storage_request_data_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_storage_request_pallet_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: wms_to_wcs_storage_request_pallet_data_archive
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ Extracted schema for 166 tables
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - 📚 Loading verified table descriptions...
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - 📚 Loaded 100 verified descriptions from NEO_Table_Summary 1.csv
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ Found 100 verified table descriptions
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ 1/166: alarm_master - Using VERIFIED description
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ 2/166: api_master - Using VERIFIED description
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ 3/166: article_proximity_score - Using VERIFIED description
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ 4/166: article_registered - Using VERIFIED description
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ 5/166: articles_registered - Using VERIFIED description
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ 6/166: auto_calibration_logs - Using VERIFIED description
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - 🤖 7/166: bin_configuration - Generating AI description (UNVERIFIED)
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    🤖 Generating AI description with gpt-4o...
2026-02-14 00:28:33 - app.services.schema_generator_service - INFO -    ✅ Generated description: "Master/configuration table for bin setup and capacity. Key fields: bin_id, sku_...
2026-02-14 00:28:33 - app.services.schema_generator_service - INFO - ✅ 8/166: bin_info_master - Using VERIFIED description
2026-02-14 00:28:33 - app.services.schema_generator_service - INFO - ✅ 9/166: bin_loading_wave_order_master - Using VERIFIED description
2026-02-14 00:28:33 - app.services.schema_generator_service - INFO - 🤖 10/166: bin_velocity_scores - Generating AI description (UNVERIFIED)
2026-02-14 00:28:33 - app.services.schema_generator_service - INFO -    🤖 Generating AI description with gpt-4o...
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO -    ✅ Generated description: "Log/audit table for bin velocity analysis. Key fields: bin_id, composite_veloci...
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 11/166: bot_alarm_log - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 12/166: bot_charging_bit_log - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 13/166: bot_manual_alarm_log - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 14/166: bot_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 15/166: bot_master_log - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 16/166: category_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 17/166: category_matrix - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 18/166: chatbot_chat_history - Using VERIFIED description
